Storm Nº,GBM 1h ahead,LSTM-CNN 1h ahead,Siciliano 1h ahead,Persistence 1h ahead,Burton 1h ahead,GBM 2h ahead,LSTM-CNN 2h ahead,Persistence 2h ahead,Burton 2h ahead
26,5.863,6.630,6.7,7.631,6.839,8.285,8.8989,12.374,10.690
27,7.729,8.913,8.9,9.623,7.955,11.585,13.418,15.387,12.465
28,4.281,5.858,5.4,5.814,5.697,5.650,5.877,9.331,8.858
29,5.833,6.683,7.2,7.174,6.511,8.826,9.314,11.415,9.776
30,4.927,5.200,5.6,4.810,4.614,7.280,7.288,7.416,6.266
31,8.277,8.584,10.7,10.429,8.838,12.613,12.436,17.193,13.604
32,6.841,7.259,8.3,10.528,9.487,9.927,8.937,15.282,13.766
33,14.492,13.340,16.3,21.167,16.630,24.519,18.481,33.927,25.729
34,10.190,10.034,11.3,10.913,10.888,13.736,13.941,15.109,14.695
35,7.154,7.693,8.5,8.011,7.918,9.504,9.932,11.211,10.586
36,8.512,9.525,8.7,9.708,9.082,12.068,12.058,14.687,13.117
37,14.548,15.184,17.5,19.698,15.713,22.327,21.084,30.582,24.446
38,3.886,4.080,4.2,4.482,4.572,5.153,5.213,7.353,6.546
39,5.901,6.431,5.6,7.597,6.663,7.391,6.798,12.322,10.159
40,4.976,4.673,5.5,5.057,5.371,5.633,5.281,6.373,6.032
41,7.558,7.882,9.0,9.984,8.358,12.121,11.707,15.437,12.622
42,5.030,5.669,5.9,6.036,5.549,7.976,8.273,10.130,8.877
Mean,7.412,7.861,8.547,9.354,8.276,10.858,10.530,14.443,12.249
